seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1472,1788581664.584,194.469,507.87,200,True,
1473,1788581664.696,194.58,456.86,200,True,
1474,1788581664.471,194.355,711.6,200,True,
1475,1788581664.779,194.663,507.31,200,True,
1476,1788581665.092,194.976,575.61,200,True,
1477,1788581663.854,193.738,1916.81,200,True,
1478,1788581664.152,194.037,1635.64,200,True,
1479,1788581663.941,193.826,1846.2,200,True,
1480,1788581663.71,193.595,2083.85,200,True,
1481,1788581665.286,195.171,523.62,200,True,
1482,1788581664.789,194.674,1187.47,200,True,
1483,1788581665.074,194.958,973.35,200,True,
1484,1788581665.182,195.067,968.02,200,True,
1485,1788581665.77,195.655,456.39,200,True,
1486,1788581665.153,195.037,1126.7,200,True,
1487,1788581665.668,195.552,694.55,200,True,
1488,1788581665.977,195.861,703.44,200,True,
1489,1788581664.589,194.473,2215.96,200,True,
1490,1788581666.362,196.247,523.98,200,True,
1491,1788581664.638,194.523,2253.62,200,True,
1492,1788581666.68,196.565,431.66,200,True,
1493,1788581665.81,195.694,1302.0,200,True,
1494,1788581665.788,195.672,1341.47,200,True,
1495,1788581665.788,195.672,1443.26,200,True,
1496,1788581666.047,195.932,1233.2,200,True,
1497,1788581666.892,196.776,815.43,200,True,
1498,1788581666.805,196.689,905.64,200,True,
1499,1788581665.794,195.678,2011.32,200,True,
1500,1788581666.886,196.771,978.26,200,True,
1501,1788581667.129,197.014,817.16,200,True,
1502,1788581666.151,196.035,1850.54,200,True,
1503,1788581666.279,196.164,1953.55,200,True,
1504,1788581667.112,196.996,1137.03,200,True,
1505,1788581667.28,197.165,1057.24,200,True,
1506,1788581667.112,196.996,1611.6,200,True,
1507,1788581668.233,198.117,494.76,200,True,
1508,1788581667.864,197.749,910.66,200,True,
1509,1788581666.227,196.111,2655.41,200,True,
1510,1788581667.805,197.69,1104.69,200,True,
1511,1788581667.707,197.592,1239.15,200,True,
1512,1788581667.946,197.831,1052.73,200,True,
1513,1788581667.231,197.115,1856.0,200,True,
1514,1788581668.337,198.222,822.56,200,True,
